Date,Sales,Quantity Sold,Unit_Price,Avg_Unit_Price,Cost Of Sales,Daily_Gross_Profit,Gross_Profit_per_Unit,Promo_1,Promo_2,Promo_3,Total_Sales,Total_Cost,Total_Gross_Profit,Total_Units,Avg_Price,Avg_GrossProfit
2014-10-06,375648.0175,11579,32.442181319630365,35.40044687766667,404178.9211,-7.595116244690406,-2.4640213835391624,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-07,78111.71646,2127,36.72389114245416,35.40044687766667,74251.87473,4.941437603636038,1.814688166431594,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-08,70509.13279,1923,36.66621569942798,35.40044687766667,67141.97963,4.7754851418021556,1.7509896827873124,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-09,103281.311,2809,36.76799964400143,35.40044687766667,98065.93908,5.049676334956675,1.8566649768600945,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-10,179841.4318,4891,36.76986951543651,35.40044687766667,170757.5812,5.051033295877043,1.8572583520752413,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-11,138038.2398,3758,36.73183602980309,35.40044687766667,131192.3168,4.95943950742844,1.8216931878658886,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-12,61037.56223,1661,36.747478765803734,35.40044687766667,57992.34151,4.989092959717315,1.8333658759783291,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-13,86799.75945,2360,36.77955908898305,35.40044687766667,82392.33326,5.077694014277592,1.8675534703389824,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-14,69570.50147,1894,36.73204935058078,35.40044687766667,66313.94098,4.68095014580898,1.7194089176346374,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-15,130476.3553,3548,36.77462099774521,35.40044687766667,124398.4316,4.658256805246612,1.713056285231116,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-16,95229.77348,2591,36.75406155152451,35.40044687766667,91087.85134,4.34939829072458,1.5985805248938671,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-17,121057.8613,3293,36.76218077740662,35.40044687766667,116949.7913,3.393476438361634,1.2475159429092035,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-18,169498.9164,4611,36.75968692257644,35.40044687766667,164492.9466,2.953393394083074,1.0856581652569923,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-19,90692.37588,2468,36.74731599675851,35.40044687766667,87911.21158,3.0665910701026435,1.1268899108589967,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-20,101723.915,2773,36.68370537324197,35.40044687766667,98870.81188,2.8047515866844095,1.0288868085106382,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-21,103395.6913,2815,36.730263339254,35.40044687766667,100424.1557,2.873945289826601,1.055607673179397,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-22,99075.5991,2701,36.681080747871164,35.40044687766667,96511.72216,2.5877985733017907,0.9492324842650877,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-23,97476.14472,2651,36.76957552621652,35.40044687766667,94763.84255,2.782529179617308,1.023124168238399,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-24,248974.6528,6781,36.71650977731898,35.40044687766667,241961.1432,2.816957277026081,1.0342883940421794,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-25,302721.6833,8249,36.69798561037701,35.40044687766667,294129.6711,2.838254632551456,1.0415822766395924,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-26,128520.7278,3502,36.6992369503141,35.40044687766667,124739.2339,2.942322195595275,1.0798097944031944,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-27,145185.2683,3949,36.765071739680934,35.40044687766667,140651.9372,3.1224456538060554,1.1479693846543455,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-28,89527.55663,2435,36.76696370841889,35.40044687766667,87067.05132,2.7483217487647944,1.0104744599589355,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-29,81991.88284,2232,36.734714534050184,35.40044687766667,80112.54801,2.292098638187593,0.8419958915770641,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-30,69704.49111,1898,36.725232407797684,35.40044687766667,68293.09639,2.024826087278491,0.7436220864067421,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
2014-10-31,166652.3948,4537,36.73184809345383,35.40044687766667,163319.7165,1.999778223409004,0.734555499228565,0,0,0,186909828.25687966,194026109.44628012,-7116281.1894,5279872,37.07285158158659,-0.874976653169138
